annee_numero_de_tirage;jour_de_tirage;date_de_tirage;numero_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_My_Million;numero_Tirage_Exceptionnel_Euro_Million;
20222102;VENDREDI;23/12/2022;1;22/02/2023;16;17;26;23;35;5;11;-16-17-23-26-35-;-5-11-;0;0;0;1;0;363954,6;3;0;17012,4;6;0;1558,5;140;0;121,1;335;0;55,8;372;0;39,9;4526;0;14,2;7618;0;10,1;18222;0;8,4;23912;0;7;108701;0;5,2;261110;0;3,7;0;0;5;518,7;65;22,1;174;8,2;2174;1,6;3325;2,9;11188;4;18013;11,6;48589;2,4;393913;2,6;VM 500 1739;;
20222101;MARDI   ;20/12/2022;4;19/02/2023;1;20;11;17;27;4;5;-1-11-17-20-27-;-4-5-;0;1;51605931;2;7;81968,4;6;9;14900,1;15;52;803,2;292;1077;71,4;416;1916;42,4;545;2197;26;4991;23778;12;9799;40581;7,8;20650;84067;7;22640;111476;6,4;110278;512306;4,4;227658;1034823;3,5;2;553,1;5;177;129;8,5;183;6;2140;1,2;4236;1,7;9526;3,6;14057;11,4;47567;1,9;309703;2,5;ET 088 9165;;
20222100;VENDREDI;16/12/2022;3;15/02/2023;2;15;44;35;19;7;2;-2-15-19-35-44-;-2-7-;0;0;0;1;2;354267,1;1;4;41399;25;55;937,8;188;810;117,3;661;2454;40,9;330;1565;45,1;9169;35975;9,8;8403;37644;10,4;15144;72341;10,1;45523;180570;4,9;124205;553257;5;225978;1067805;4,2;0;0;7;373,9;86;16,9;286;5;3892;0,9;3713;2,6;18934;2,4;29695;7,1;55078;2,1;459854;2,2;LY 901 6311;;
20222099;MARDI   ;13/12/2022;2;12/02/2023;30;3;12;26;9;10;11;-3-9-12-26-30-;-10-11-;0;0;0;1;4;131029;5;17;7205,5;6;23;1658,8;216;780;90,1;264;1068;69,5;787;2764;18,8;2869;14135;18,4;7129;28374;10,2;24513;92344;5,8;14099;71516;9,1;80959;353831;5,8;256947;1065206;3,1;0;0;3;660,8;99;11,1;111;9,9;1381;1,9;3268;2,2;6833;5;10946;14,6;38388;2,3;273869;2,9;OG 732 2723;;
20222098;VENDREDI;09/12/2022;1;08/02/2023;8;46;31;27;50;3;1;-8-27-31-46-50-;-1-3-;0;0;0;0;2;343883;1;6;26790,3;9;35;1430,4;127;584;157,9;324;1422;68,5;285;1432;47,8;4839;21477;15,9;6125;29299;13;13828;64789;10,9;27739;121538;7;101267;452332;6;219712;999745;4,3;0;0;3;899,3;51;29,3;158;9,4;2208;1,6;2796;3,5;12347;3,8;21475;10,1;46021;2,6;462979;2,3;MH 156 7284;;
20222097;MARDI   ;06/12/2022;9;05/02/2023;20;25;27;26;12;8;12;-12-20-25-26-27-;-8-12-;0;1;142897164;1;5;160293,3;2;4;46828,9;10;61;956,4;199;902;119,1;379;1737;65,4;575;2335;34,1;5420;24294;16,4;10130;41422;10,7;26101;104275;7,9;27413;123593;8,1;136495;576321;5,4;349926;1447771;3,5;0;0;5;599,9;103;16,1;164;10,1;2548;1,6;4593;2,4;12835;4;18924;12,8;60792;2,2;434411;2,7;BF 128 8115;;
20222096;VENDREDI;02/12/2022;Super Jackpot et tirages suivants;01/02/2023;39;12;35;21;45;11;6;-12-21-35-39-45-;-6-11-;0;0;0;0;1;1174364,1;1;13;21112,9;17;62;1378,8;252;1122;140,3;625;2555;65,1;613;2779;42;9048;38067;15,3;12116;53798;12,1;28195;123299;9,8;48681;202760;7,2;180687;776392;5,9;426325;1820950;4;0;0;5;927,2;109;23,6;270;9,5;4190;1,5;5422;3,1;22010;3,6;36715;10,2;80876;2,6;737095;2,5;HR 390 6385;;
20222095;MARDI   ;29/11/2022;7;29/01/2023;20;38;35;15;24;12;8;-15-20-24-35-38-;-8-12-;0;0;0;0;1;614404,5;1;1;143596,4;4;24;1863,6;111;552;149,2;220;1051;82,8;262;1405;43,5;3002;16173;18,9;5028;25966;13,1;12350;64037;9,9;16914;86791;8,8;77276;389623;6,2;197888;972239;4;0;0;2;1066,9;63;18,8;102;11,6;1492;1,9;2288;3,4;8062;4,6;13784;12,5;35380;2,7;323865;2,6;TV 773 5123;;
20222094;VENDREDI;25/11/2022;6;25/01/2023;21;19;39;35;37;2;6;-19-21-35-37-39-;-2-6-;0;0;0;0;4;192883,5;2;10;18032;8;39;1440,1;167;812;127,4;412;1986;55;328;1687;45,5;6408;30221;12,7;7171;35846;11,9;14831;78160;10,2;35679;164651;5,8;108016;533344;5,7;224495;1156230;4,2;0;0;2;1329,4;77;19,1;180;8,2;2770;1,3;3132;3,1;15312;3;26521;8,1;47191;2,5;463286;2,3;GA 666 0427;;
20222093;MARDI   ;22/11/2022;5;22/01/2023;24;29;42;21;22;3;11;-21-22-24-29-42-;-3-11-;0;0;0;0;2;280000,8;1;3;43627,2;7;20;2038,3;110;503;149,2;261;1214;65,3;226;1170;47,6;3890;19094;14,6;5513;26626;11,6;12594;60413;9,5;20524;101554;6,9;85855;411289;5,3;196079;921198;3,8;0;0;1;1968,4;56;19,5;134;8,1;1774;1,5;2498;2,9;9528;3,6;14563;10,9;38454;2,3;308226;2,5;MU 402 1458;;
20222092;VENDREDI;18/11/2022;4;18/01/2023;41;13;35;19;16;11;1;-13-16-19-35-41-;-1-11-;0;0;0;0;3;245766,1;1;11;15665,3;6;33;1626,4;128;658;150,2;301;1424;73,3;347;1722;42,6;4294;21279;17,2;6214;30629;13,3;16100;78666;9,6;23474;114630;8;95883;463190;6,2;255088;1201485;3,9;0;0;3;885,2;56;26,3;137;10,7;1969;1,8;2849;3,4;11167;4,1;18246;11,8;43462;2,8;389379;2,7;HK 181 5153;;
20222091;MARDI   ;15/11/2022;3;15/01/2023;31;21;13;24;33;1;12;-13-21-24-31-33-;-1-12-;0;0;0;0;3;179655,8;2;6;20994,2;7;25;1569,4;136;595;121,4;273;1176;64,9;407;1932;27,7;3466;16057;16,7;5798;26062;11,4;17243;79418;7;17511;80918;8,3;74056;348245;6,1;219936;1026922;3,3;0;0;3;659,8;62;17,7;136;8;1729;1,5;2587;2,8;8710;3,9;13920;11,5;34765;2,6;275784;2,8;RT 647 3979;;
20222090;VENDREDI;11/11/2022;2;11/01/2023;25;2;19;44;24;2;10;-2-19-24-25-44-;-2-10-;0;0;0;1;3;230878,4;0;8;20235;10;35;1440,6;162;764;121,5;368;1607;61,1;363;1585;43,5;5226;23625;14,6;7634;35260;10,9;16534;78973;9;25415;117657;7,3;108026;509901;5,3;243392;1164650;3,7;1;1343,4;3;358,2;80;16,7;167;8;2434;1,3;3463;2,5;11761;3,5;17736;11;48762;2,2;363935;2,6;IG 959 4548;;
20222089;MARDI   ;08/11/2022;1;08/01/2023;50;32;33;5;3;1;8;-3-5-32-33-50-;-1-8-;0;0;0;0;3;173618,2;0;3;40577,4;2;15;2527,7;76;451;154,8;205;979;75,4;167;1108;46,8;3416;16606;15,6;4312;22369;12,9;9857;51701;10,4;20011;90609;7,2;71526;355759;5,7;165561;821545;4;0;0;1;1955,1;41;26,4;108;10;1592;1,7;2023;3,5;9181;3,7;15774;10;33405;2,6;316055;2,4;AA 807 8409;;
20222088;VENDREDI;04/11/2022;12;04/01/2023;11;2;37;47;45;2;3;-2-11-37-45-47-;-2-3-;1;1;160788895;0;2;572462;3;10;26758,7;9;51;1634,2;223;1100;139,5;435;2139;75,8;420;2259;50,4;6857;33996;16,7;10595;51290;12,4;21230;104682;11,3;39882;193417;7,4;168601;797170;5,6;328255;1616411;4,5;0;0;5;779;93;23,2;192;11,2;2985;1,8;4670;3,1;17246;3,9;31454;10;72509;2,4;703293;2,2;OX 399 4093;;
20222087;MARDI   ;01/11/2022;11;01/01/2023;42;48;19;37;47;6;1;-19-37-42-47-48-;-1-6-;0;0;0;0;2;370898,3;2;8;21671,2;5;25;2160;114;626;158,9;270;1347;78;269;1439;51,3;4392;22587;16,3;5393;28884;14,2;12917;70570;10,8;26296;126246;7,3;87781;446372;6,5;205808;1075611;4,3;0;0;1;2431,4;54;25;109;12,3;1955;1,7;2375;3,8;11584;3,6;21201;9,3;38324;2,9;413514;2,3;AE 147 7153;;
